mean_depth,0.025,0.075,0.125,0.175,0.225,0.275,0.325,0.375,0.425,0.475,0.525,0.575,0.625,0.675,0.725,0.775,0.825,0.875,0.925,0.975
0.0,,,,,,,,,,,,,,,,,,,,
0.01,1.0,6.086286e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.9999944,5.592995e-06,2.0522096999999998e-18,8.196548e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.9849312,0.015068726,9.605856e-08,4.923277e-16,2.0287619e-27,6.722e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.83989716,0.15980944,0.00029341012,9.784886e-09,5.927129e-15,6.5214027e-23,1.3033038e-32,4.8e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.587731,0.40284815,0.009403976,1.6879367e-05,2.3296676e-09,2.472435e-14,2.0176643e-20,1.2660943e-27,6.109087e-36,3e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.35333878,0.5929707,0.052895393,0.0007931091,2.0024547e-06,8.5134805e-10,6.0948954e-14,7.347506999999999e-19,1.4915178e-24,5.098372e-31,2.9346023e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.21443202,0.65031177,0.12840992,0.0067500696,9.585085e-05,3.6767307e-07,3.8098316e-10,1.06641895e-13,8.063583e-18,1.6470484e-22,9.087885e-28,1.3545573e-33,5.45394e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.13870595,0.62607545,0.20967981,0.024473561,0.0010486571,1.6495742e-05,9.526035e-08,2.0195494e-10,1.5718054e-13,4.4910213e-17,4.7107867e-21,1.8140270999999998e-25,2.564461e-30,1.3309152e-35,2.5358e-41,0.0,0.0,0.0,0.0,0.0
0.09,0.096171655,0.5635001,0.27936417,0.05572047,0.005033711,0.00020601631,3.8199246e-06,3.208838e-08,1.2211827e-10,2.1054911e-13,1.6446215000000002e-16,5.819939e-20,9.330625e-24,6.7770836e-28,2.2300512000000002e-32,3.3245025999999998e-37,2.245000000000001e-42,0.0,0.0,0.0
0.1,0.07051356,0.48661822,0.33079576,0.09614936,0.014690019,0.0011818747,5.0071863e-05,1.1170931e-06,1.312376e-08,8.118961e-11,2.6449405e-13,4.537375e-16,4.0988939999999998e-19,1.9498535000000002e-22,4.8843925000000005e-26,6.443063e-30,4.4755616e-34,1.6371028e-38,3.15e-43,0.0
0.11,0.053880475,0.4091069,0.36247072,0.13896796,0.031134656,0.004105654,0.0003186642,1.4557836e-05,3.91447e-07,6.195292e-09,5.7711613e-11,3.1642972e-13,1.0211839e-15,1.9397387e-18,2.1686785000000002e-21,1.4271175000000001e-24,5.527604300000001e-28,1.2601631e-31,1.6909438999999998e-35,1.3355e-39
